protein1	protein2
9606.ENSP00000495360	9606.ENSP00000436557
9606.ENSP00000362680	9606.ENSP00000428603
9606.ENSP00000370698	9606.ENSP00000360730
9606.ENSP00000314976	9606.ENSP00000264563
9606.ENSP00000194155	9606.ENSP00000355645
9606.ENSP00000231136	9606.ENSP00000262506
9606.ENSP00000362680	9606.ENSP00000231021
9606.ENSP00000367177	9606.ENSP00000224784
9606.ENSP00000435300	9606.ENSP00000494750
9606.ENSP00000265071	9606.ENSP00000476145
9606.ENSP00000378077	9606.ENSP00000262506
9606.ENSP00000365042	9606.ENSP00000194155
9606.ENSP00000262866	9606.ENSP00000227752
9606.ENSP00000497915	9606.ENSP00000360730
9606.ENSP00000386653	9606.ENSP00000416706
9606.ENSP00000381636	9606.ENSP00000224784
9606.ENSP00000362680	9606.ENSP00000462701
9606.ENSP00000225512	9606.ENSP00000286201
9606.ENSP00000365016	9606.ENSP00000280357
9606.ENSP00000239449	9606.ENSP00000307134
9606.ENSP00000253812	9606.ENSP00000476145
9606.ENSP00000233948	9606.ENSP00000240093
9606.ENSP00000302486	9606.ENSP00000407586
9606.ENSP00000342235	9606.ENSP00000494750
9606.ENSP00000355082	9606.ENSP00000262506
9606.ENSP00000222462	9606.ENSP00000354607
9606.ENSP00000216373	9606.ENSP00000262866
9606.ENSP00000382004	9606.ENSP00000355645
9606.ENSP00000263851	9606.ENSP00000412209
9606.ENSP00000341268	9606.ENSP00000501150
9606.ENSP00000432511	9606.ENSP00000319635
9606.ENSP00000450565	9606.ENSP00000304895
9606.ENSP00000462701	9606.ENSP00000367220
9606.ENSP00000360683	9606.ENSP00000239446
9606.ENSP00000307134	9606.ENSP00000289272
9606.ENSP00000362680	9606.ENSP00000231137
9606.ENSP00000371710	9606.ENSP00000416706
9606.ENSP00000370698	9606.ENSP00000290200
9606.ENSP00000381636	9606.ENSP00000342235
9606.ENSP00000361004	9606.ENSP00000263851
9606.ENSP00000385675	9606.ENSP00000327890
9606.ENSP00000495360	9606.ENSP00000494750
9606.ENSP00000263125	9606.ENSP00000259808
9606.ENSP00000265441	9606.ENSP00000351605
9606.ENSP00000275493	9606.ENSP00000362186
9606.ENSP00000306512	9606.ENSP00000432511
9606.ENSP00000470788	9606.ENSP00000264563
9606.ENSP00000262866	9606.ENSP00000296545
9606.ENSP00000281092	9606.ENSP00000271332
9606.ENSP00000362125	9606.ENSP00000355645
9606.ENSP00000498466	9606.ENSP00000351908
9606.ENSP00000341032	9606.ENSP00000240093
9606.ENSP00000313419	9606.ENSP00000263967
9606.ENSP00000344352	9606.ENSP00000263025
9606.ENSP00000233057	9606.ENSP00000318176
9606.ENSP00000263967	9606.ENSP00000379111
9606.ENSP00000162749	9606.ENSP00000259808
9606.ENSP00000274520	9606.ENSP00000304895
9606.ENSP00000307134	9606.ENSP00000231137
9606.ENSP00000267101	9606.ENSP00000231137
9606.ENSP00000382004	9606.ENSP00000435300
9606.ENSP00000361004	9606.ENSP00000385675
9606.ENSP00000267101	9606.ENSP00000381594
9606.ENSP00000263851	9606.ENSP00000327890
9606.ENSP00000346671	9606.ENSP00000224721
9606.ENSP00000381594	9606.ENSP00000224784
9606.ENSP00000328169	9606.ENSP00000309968
9606.ENSP00000326366	9606.ENSP00000294785
9606.ENSP00000365016	9606.ENSP00000227752
9606.ENSP00000262150	9606.ENSP00000342235
9606.ENSP00000312070	9606.ENSP00000494750
9606.ENSP00000369293	9606.ENSP00000274520
9606.ENSP00000458162	9606.ENSP00000429018
9606.ENSP00000386857	9606.ENSP00000495360
9606.ENSP00000269571	9606.ENSP00000494750
9606.ENSP00000346671	9606.ENSP00000495360
9606.ENSP00000434034	9606.ENSP00000290167
9606.ENSP00000340677	9606.ENSP00000286201
9606.ENSP00000265094	9606.ENSP00000358918
9606.ENSP00000250405	9606.ENSP00000293288
9606.ENSP00000365042	9606.ENSP00000224784
9606.ENSP00000382004	9606.ENSP00000253807
9606.ENSP00000304915	9606.ENSP00000360730
9606.ENSP00000439068	9606.ENSP00000410481
9606.ENSP00000501053	9606.ENSP00000305260
9606.ENSP00000416706	9606.ENSP00000287008
9606.ENSP00000382004	9606.ENSP00000268603
9606.ENSP00000267101	9606.ENSP00000289272
9606.ENSP00000216223	9606.ENSP00000365016
9606.ENSP00000290378	9606.ENSP00000262738
9606.ENSP00000216223	9606.ENSP00000280357
9606.ENSP00000381589	9606.ENSP00000342235
9606.ENSP00000281092	9606.ENSP00000428924
9606.ENSP00000362680	9606.ENSP00000239450
9606.ENSP00000290200	9606.ENSP00000227752
9606.ENSP00000370744	9606.ENSP00000224337
9606.ENSP00000216373	9606.ENSP00000304915
9606.ENSP00000194155	9606.ENSP00000224784
9606.ENSP00000164024	9606.ENSP00000342235
9606.ENSP00000419260	9606.ENSP00000500582
9606.ENSP00000307134	9606.ENSP00000346802
9606.ENSP00000360683	9606.ENSP00000420840
9606.ENSP00000319635	9606.ENSP00000228534
9606.ENSP00000231136	9606.ENSP00000342235
9606.ENSP00000360683	9606.ENSP00000264360
9606.ENSP00000362680	9606.ENSP00000458162
9606.ENSP00000384675	9606.ENSP00000327890
9606.ENSP00000280357	9606.ENSP00000314976
9606.ENSP00000498587	9606.ENSP00000340292
9606.ENSP00000401303	9606.ENSP00000263851
9606.ENSP00000284523	9606.ENSP00000495360
9606.ENSP00000290378	9606.ENSP00000441802
9606.ENSP00000289269	9606.ENSP00000473553
9606.ENSP00000225512	9606.ENSP00000363826
9606.ENSP00000307134	9606.ENSP00000381589
9606.ENSP00000429018	9606.ENSP00000275493
9606.ENSP00000263851	9606.ENSP00000304895
9606.ENSP00000222725	9606.ENSP00000340292
9606.ENSP00000412237	9606.ENSP00000262345
9606.ENSP00000382004	9606.ENSP00000312070
9606.ENSP00000416706	9606.ENSP00000342235
9606.ENSP00000268603	9606.ENSP00000262506
9606.ENSP00000281092	9606.ENSP00000436426
9606.ENSP00000416706	9606.ENSP00000269141
9606.ENSP00000476145	9606.ENSP00000429808
9606.ENSP00000263388	9606.ENSP00000345206
9606.ENSP00000267101	9606.ENSP00000231021
9606.ENSP00000231449	9606.ENSP00000365016
NA	9606.ENSP00000287295
9606.ENSP00000346671	9606.ENSP00000367220
9606.ENSP00000362680	9606.ENSP00000429808
9606.ENSP00000386857	9606.ENSP00000484928
9606.ENSP00000284523	9606.ENSP00000323901
9606.ENSP00000365042	9606.ENSP00000268603
9606.ENSP00000231134	9606.ENSP00000269571
9606.ENSP00000340677	9606.ENSP00000354607
9606.ENSP00000358548	9606.ENSP00000224337
9606.ENSP00000261769	9606.ENSP00000473553
9606.ENSP00000458162	9606.ENSP00000473553
9606.ENSP00000231484	9606.ENSP00000416706
9606.ENSP00000342235	9606.ENSP00000429273
9606.ENSP00000239449	9606.ENSP00000416706
9606.ENSP00000386857	9606.ENSP00000371689
9606.ENSP00000267101	9606.ENSP00000253812
9606.ENSP00000346671	9606.ENSP00000429808
9606.ENSP00000346671	9606.ENSP00000381605
9606.ENSP00000435300	9606.ENSP00000262506
9606.ENSP00000360683	9606.ENSP00000261800
9606.ENSP00000384675	9606.ENSP00000319635
9606.ENSP00000360730	9606.ENSP00000290200
9606.ENSP00000380517	9606.ENSP00000262506
9606.ENSP00000290378	9606.ENSP00000264012
9606.ENSP00000369293	9606.ENSP00000263967
9606.ENSP00000216223	9606.ENSP00000274520
9606.ENSP00000263388	9606.ENSP00000249749
9606.ENSP00000164024	9606.ENSP00000224784
9606.ENSP00000342235	9606.ENSP00000380517
9606.ENSP00000269571	9606.ENSP00000435300
9606.ENSP00000263025	9606.ENSP00000262053
9606.ENSP00000362680	9606.ENSP00000429018
9606.ENSP00000275493	9606.ENSP00000312070
9606.ENSP00000262506	9606.ENSP00000429273
9606.ENSP00000381589	9606.ENSP00000224784
9606.ENSP00000382004	9606.ENSP00000346802
9606.ENSP00000226730	9606.ENSP00000380421
9606.ENSP00000304915	9606.ENSP00000412209
9606.ENSP00000346671	9606.ENSP00000231173
9606.ENSP00000451828	9606.ENSP00000324806
9606.ENSP00000439068	9606.ENSP00000162749
9606.ENSP00000228534	9606.ENSP00000501150
9606.ENSP00000295683	9606.ENSP00000470788
9606.ENSP00000216223	9606.ENSP00000231449
9606.ENSP00000287934	9606.ENSP00000222462
9606.ENSP00000436557	9606.ENSP00000494750
9606.ENSP00000458162	9606.ENSP00000224721
9606.ENSP00000458162	9606.ENSP00000262738
9606.ENSP00000406229	9606.ENSP00000476145
9606.ENSP00000363826	9606.ENSP00000380379
9606.ENSP00000346802	9606.ENSP00000224784
9606.ENSP00000263025	9606.ENSP00000293328
9606.ENSP00000289269	9606.ENSP00000269571
9606.ENSP00000296545	9606.ENSP00000228534
9606.ENSP00000269571	9606.ENSP00000268603
9606.ENSP00000379258	9606.ENSP00000429084
9606.ENSP00000267101	9606.ENSP00000381628
9606.ENSP00000247668	9606.ENSP00000162749
9606.ENSP00000497915	9606.ENSP00000369293
9606.ENSP00000227752	9606.ENSP00000263339
9606.ENSP00000362186	9606.ENSP00000494750
9606.ENSP00000358698	9606.ENSP00000240093
9606.ENSP00000386857	9606.ENSP00000428288
9606.ENSP00000371689	9606.ENSP00000473553
9606.ENSP00000381589	9606.ENSP00000269571
9606.ENSP00000476145	9606.ENSP00000429601
9606.ENSP00000272164	9606.ENSP00000229030
9606.ENSP00000319635	9606.ENSP00000412209
9606.ENSP00000289269	9606.ENSP00000275493
9606.ENSP00000346671	9606.ENSP00000367096
9606.ENSP00000435300	9606.ENSP00000224784
9606.ENSP00000263851	9606.ENSP00000432511
9606.ENSP00000429084	9606.ENSP00000358918
9606.ENSP00000430024	9606.ENSP00000473553
9606.ENSP00000261769	9606.ENSP00000269571
9606.ENSP00000365042	9606.ENSP00000381628
9606.ENSP00000290378	9606.ENSP00000424565
9606.ENSP00000314976	9606.ENSP00000470788
9606.ENSP00000290378	9606.ENSP00000239444
9606.ENSP00000275493	9606.ENSP00000224721
9606.ENSP00000362680	9606.ENSP00000299441
9606.ENSP00000342235	9606.ENSP00000497290
9606.ENSP00000231134	9606.ENSP00000224784
9606.ENSP00000215832	9606.ENSP00000350681
9606.ENSP00000367177	9606.ENSP00000495360
9606.ENSP00000360683	9606.ENSP00000386857
9606.ENSP00000290200	9606.ENSP00000327890
9606.ENSP00000426653	9606.ENSP00000434034
9606.ENSP00000281092	9606.ENSP00000265071
9606.ENSP00000309968	9606.ENSP00000249749
9606.ENSP00000370698	9606.ENSP00000319635
9606.ENSP00000267101	9606.ENSP00000458162
9606.ENSP00000497069	9606.ENSP00000380432
9606.ENSP00000342235	9606.ENSP00000367096
9606.ENSP00000363591	9606.ENSP00000293288
9606.ENSP00000358327	9606.ENSP00000286186
9606.ENSP00000290378	9606.ENSP00000231021
9606.ENSP00000365042	9606.ENSP00000269141
9606.ENSP00000361004	9606.ENSP00000290200
9606.ENSP00000379111	9606.ENSP00000470788
9606.ENSP00000367096	9606.ENSP00000494750
9606.ENSP00000382004	9606.ENSP00000381605
9606.ENSP00000337691	9606.ENSP00000227163
9606.ENSP00000424565	9606.ENSP00000342235
9606.ENSP00000386857	9606.ENSP00000262717
9606.ENSP00000360730	9606.ENSP00000263339
9606.ENSP00000385675	9606.ENSP00000262345
9606.ENSP00000486891	9606.ENSP00000495360
9606.ENSP00000299752	9606.ENSP00000476145
9606.ENSP00000346671	9606.ENSP00000437790
9606.ENSP00000345206	9606.ENSP00000364163
9606.ENSP00000362125	9606.ENSP00000224784
9606.ENSP00000362680	9606.ENSP00000381611
NA	9606.ENSP00000367220
9606.ENSP00000231136	9606.ENSP00000355645
9606.ENSP00000450565	9606.ENSP00000274520
9606.ENSP00000290378	9606.ENSP00000367096
9606.ENSP00000382004	9606.ENSP00000224721
9606.ENSP00000265441	9606.ENSP00000286201
9606.ENSP00000267101	9606.ENSP00000268603
9606.ENSP00000307134	9606.ENSP00000268603
9606.ENSP00000194152	9606.ENSP00000224784
9606.ENSP00000360730	9606.ENSP00000470788
9606.ENSP00000365042	9606.ENSP00000231021
9606.ENSP00000497069	9606.ENSP00000391826
9606.ENSP00000354607	9606.ENSP00000272164
9606.ENSP00000262150	9606.ENSP00000494750
9606.ENSP00000416706	9606.ENSP00000476145
9606.ENSP00000412209	9606.ENSP00000501150
9606.ENSP00000341032	9606.ENSP00000286201
9606.ENSP00000365016	9606.ENSP00000264563
9606.ENSP00000401303	9606.ENSP00000262345
9606.ENSP00000231454	9606.ENSP00000357470
9606.ENSP00000324173	9606.ENSP00000287295
9606.ENSP00000391592	9606.ENSP00000085219
9606.ENSP00000358698	9606.ENSP00000229030
9606.ENSP00000357470	9606.ENSP00000263851
9606.ENSP00000307134	9606.ENSP00000458162
9606.ENSP00000497069	9606.ENSP00000304895
9606.ENSP00000307134	9606.ENSP00000435300
9606.ENSP00000281092	9606.ENSP00000345491
9606.ENSP00000360683	9606.ENSP00000428288
9606.ENSP00000458162	9606.ENSP00000194152
9606.ENSP00000458162	9606.ENSP00000231484
9606.ENSP00000239444	9606.ENSP00000275493
9606.ENSP00000290378	9606.ENSP00000428288
9606.ENSP00000351605	9606.ENSP00000293549
9606.ENSP00000294117	9606.ENSP00000342952
9606.ENSP00000342235	9606.ENSP00000441802
9606.ENSP00000346671	9606.ENSP00000429834
9606.ENSP00000239449	9606.ENSP00000269571
9606.ENSP00000231454	9606.ENSP00000361004
9606.ENSP00000360683	9606.ENSP00000436557
9606.ENSP00000362680	9606.ENSP00000477314
9606.ENSP00000370698	9606.ENSP00000304895
9606.ENSP00000386857	9606.ENSP00000382004
9606.ENSP00000295633	9606.ENSP00000240093
9606.ENSP00000269571	9606.ENSP00000231021
9606.ENSP00000355645	9606.ENSP00000380517
9606.ENSP00000306918	9606.ENSP00000495360
9606.ENSP00000380421	9606.ENSP00000262345
9606.ENSP00000254958	9606.ENSP00000249749
9606.ENSP00000267101	9606.ENSP00000224784
9606.ENSP00000281092	9606.ENSP00000299441
9606.ENSP00000281092	9606.ENSP00000432586
9606.ENSP00000284523	9606.ENSP00000363826
9606.ENSP00000450565	9606.ENSP00000280357
9606.ENSP00000345785	9606.ENSP00000340677
9606.ENSP00000342235	9606.ENSP00000264360
9606.ENSP00000420840	9606.ENSP00000355645
9606.ENSP00000360683	9606.ENSP00000231136
9606.ENSP00000498587	9606.ENSP00000384018
9606.ENSP00000412237	9606.ENSP00000327890
9606.ENSP00000360683	9606.ENSP00000290378
9606.ENSP00000375892	9606.ENSP00000501150
9606.ENSP00000271332	9606.ENSP00000342235
9606.ENSP00000231454	9606.ENSP00000380421
9606.ENSP00000434034	9606.ENSP00000222462
9606.ENSP00000265563	9606.ENSP00000358918
9606.ENSP00000307134	9606.ENSP00000362125
9606.ENSP00000346671	9606.ENSP00000252085
9606.ENSP00000436426	9606.ENSP00000367220
9606.ENSP00000275493	9606.ENSP00000429601
9606.ENSP00000290378	9606.ENSP00000380517
9606.ENSP00000422435	9606.ENSP00000337691
9606.ENSP00000290378	9606.ENSP00000262717
9606.ENSP00000314976	9606.ENSP00000262345
9606.ENSP00000264634	9606.ENSP00000495360
9606.ENSP00000360683	9606.ENSP00000371689
9606.ENSP00000386857	9606.ENSP00000261800
9606.ENSP00000433378	9606.ENSP00000224784
9606.ENSP00000290378	9606.ENSP00000264360
9606.ENSP00000366563	9606.ENSP00000375892
9606.ENSP00000458162	9606.ENSP00000287008
9606.ENSP00000252085	9606.ENSP00000494750
9606.ENSP00000271332	9606.ENSP00000495360
9606.ENSP00000231484	9606.ENSP00000476145
9606.ENSP00000360683	9606.ENSP00000355645
9606.ENSP00000239446	9606.ENSP00000262506
9606.ENSP00000295683	9606.ENSP00000263339
9606.ENSP00000401303	9606.ENSP00000280357
9606.ENSP00000382004	9606.ENSP00000262738
9606.ENSP00000290200	9606.ENSP00000263339
9606.ENSP00000473553	9606.ENSP00000194152
9606.ENSP00000281092	9606.ENSP00000494750
9606.ENSP00000346671	9606.ENSP00000271332
NA	9606.ENSP00000346671
9606.ENSP00000379111	9606.ENSP00000304895
9606.ENSP00000269571	9606.ENSP00000239446
9606.ENSP00000304915	9606.ENSP00000290200
9606.ENSP00000259808	9606.ENSP00000341268
9606.ENSP00000290378	9606.ENSP00000253807
9606.ENSP00000398495	9606.ENSP00000263464
9606.ENSP00000262717	9606.ENSP00000355645
9606.ENSP00000306512	9606.ENSP00000470788
9606.ENSP00000307134	9606.ENSP00000429834
9606.ENSP00000458162	9606.ENSP00000346802
9606.ENSP00000351908	9606.ENSP00000343658
9606.ENSP00000289746	9606.ENSP00000458162
9606.ENSP00000381589	9606.ENSP00000367220
9606.ENSP00000304234	9606.ENSP00000494750
9606.ENSP00000351605	9606.ENSP00000290167
9606.ENSP00000226730	9606.ENSP00000262345
9606.ENSP00000382004	9606.ENSP00000307234
9606.ENSP00000384675	9606.ENSP00000380421
9606.ENSP00000410402	9606.ENSP00000351908
9606.ENSP00000261845	9606.ENSP00000366182
9606.ENSP00000325526	9606.ENSP00000495360
9606.ENSP00000286186	9606.ENSP00000287322
9606.ENSP00000495360	9606.ENSP00000441802
9606.ENSP00000307134	9606.ENSP00000428603
9606.ENSP00000382004	9606.ENSP00000429834
9606.ENSP00000386857	9606.ENSP00000261769
9606.ENSP00000275493	9606.ENSP00000299752
9606.ENSP00000431083	9606.ENSP00000262506
9606.ENSP00000281092	9606.ENSP00000430024
9606.ENSP00000360683	9606.ENSP00000386653
9606.ENSP00000495360	9606.ENSP00000229030
9606.ENSP00000362680	9606.ENSP00000429834
9606.ENSP00000215832	9606.ENSP00000366182
9606.ENSP00000226730	9606.ENSP00000319635
9606.ENSP00000267101	9606.ENSP00000231173
9606.ENSP00000261845	9606.ENSP00000341208
9606.ENSP00000262948	9606.ENSP00000407586
9606.ENSP00000476145	9606.ENSP00000381611
9606.ENSP00000458162	9606.ENSP00000371710
9606.ENSP00000222462	9606.ENSP00000229030
9606.ENSP00000458162	9606.ENSP00000436042
9606.ENSP00000290378	9606.ENSP00000497290
9606.ENSP00000367220	9606.ENSP00000231130
9606.ENSP00000435412	9606.ENSP00000263025
9606.ENSP00000369293	9606.ENSP00000385675
9606.ENSP00000351605	9606.ENSP00000233948
9606.ENSP00000299752	9606.ENSP00000269571
9606.ENSP00000458162	9606.ENSP00000429834
9606.ENSP00000430024	9606.ENSP00000476145
9606.ENSP00000342235	9606.ENSP00000428603
9606.ENSP00000304915	9606.ENSP00000262345
9606.ENSP00000254958	9606.ENSP00000309968
9606.ENSP00000386857	9606.ENSP00000268603
9606.ENSP00000281092	9606.ENSP00000304234
9606.ENSP00000216797	9606.ENSP00000221452
9606.ENSP00000267101	9606.ENSP00000381605
9606.ENSP00000346671	9606.ENSP00000253812
9606.ENSP00000358918	9606.ENSP00000385749
9606.ENSP00000262717	9606.ENSP00000269571
9606.ENSP00000434034	9606.ENSP00000233948
9606.ENSP00000216373	9606.ENSP00000306512
9606.ENSP00000363591	9606.ENSP00000358081
9606.ENSP00000473553	9606.ENSP00000429601
9606.ENSP00000367220	9606.ENSP00000268613
9606.ENSP00000412237	9606.ENSP00000290200
9606.ENSP00000361004	9606.ENSP00000319635
9606.ENSP00000434655	9606.ENSP00000355645
9606.ENSP00000385675	9606.ENSP00000360730
9606.ENSP00000382423	9606.ENSP00000294066
9606.ENSP00000262866	9606.ENSP00000314976
9606.ENSP00000304234	9606.ENSP00000269571
9606.ENSP00000365042	9606.ENSP00000432586
9606.ENSP00000365042	9606.ENSP00000497290
9606.ENSP00000381628	9606.ENSP00000275493
9606.ENSP00000363068	9606.ENSP00000355645
9606.ENSP00000263967	9606.ENSP00000264563
